date,Close,Return,LogReturn,Gap,Body,UpperShadow,LowerShadow,BETA10,BETA20,BETA30,BETA5,CNTD10,CNTD20,CNTD30,CNTD5,CNTN10,CNTN20,CNTN30,CNTN5,CNTP10,CNTP20,CNTP30,CNTP5,CORD10,CORD20,CORD30,CORD5,CORR10,CORR20,CORR30,CORR5,IMAX10,IMAX20,IMAX30,IMAX5,IMIN10,IMIN20,IMIN30,IMIN5,IMXD10,IMXD20,IMXD30,IMXD5,MA10,MA20,MA30,MA5,MAX10,MAX20,MAX30,MAX5,MIN10,MIN20,MIN30,MIN5,QTLD10,QTLD20,QTLD30,QTLD5,QTLU10,QTLU20,QTLU30,QTLU5,RANK10,RANK20,RANK30,RANK5,RESI10,RESI20,RESI30,RESI5,ROC10,ROC20,ROC30,ROC5,RSQR10,RSQR20,RSQR30,RSQR5,RSV10,RSV20,RSV30,RSV5,STD10,STD20,STD30,STD5,SUMD10,SUMD20,SUMD30,SUMD5,SUMN10,SUMN20,SUMN30,SUMN5,SUMP10,SUMP20,SUMP30,SUMP5,VMA10,VMA20,VMA30,VMA5,VSTD10,VSTD20,VSTD30,VSTD5,VSUMD10,VSUMD20,VSUMD30,VSUMD5,VSUMN10,VSUMN20,VSUMN30,VSUMN5,VSUMP10,VSUMP20,VSUMP30,VSUMP5,WVMA10,WVMA20,WVMA30,WVMA5
2026-06-04T04:00:00Z,739.69,,,,0.0070797424,0.0040436221,0.0036351754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T04:00:00Z,704.6,-0.0474387919,-0.0486009136,-0.0145466344,-0.0333776906,0.0025928416,0.0014267488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-08T04:00:00Z,715.26,0.0151291513,0.0150158471,0.0176412149,-0.002468516,0.0072381909,0.0041141933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T04:00:00Z,707.08,-0.0114364007,-0.0115022993,0.0097027654,-0.0209360288,0.0036278039,0.029631681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-10T04:00:00Z,692.94,-0.0199977372,-0.0202003983,-0.009334163,-0.0107640475,0.0141474418,0.0009993148,,,,-0.0131353364,,,,,,,,,,,,,,,,,,,,-0.7077596343,,,,0,,,,0.6,,,,-0.6,,,,1.0273818801,,,,1.0717522441,,,,0.9895229024,,,,1.0168268537,,,,1.032210581,,,,0.2,,,,-0.0011112073,,,,,,,,0.6793045705,,,,0.1274131274,,,,0.0225384439,,,,,,,,,,,,,,,,1.0994748959,,,,0.399013663,,,,,,,,,,,,,,,,
2026-06-11T04:00:00Z,715.84,0.0330475943,0.0325132629,0.0076630011,0.0251915503,0.0024203366,0.0055710705,,,,0.0000223514,,,,-0.2,,,,0.6,,,,0.4,,,,-0.6394734264,,,,-0.3210496063,,,,0,,,,0.4,,,,-0.4,,,,0.987852034,,,,1.020926464,,,,0.9578676799,,,,0.9842981672,,,,0.9991897631,,,,1,,,,0.0121032633,,,,-0.032243237,,,,0.0000073202,,,,0.6681435534,,,,0.0116831236,,,,-0.2621743432,,,,0.6310871716,,,,0.3689128284,,,,1.3539677658,,,,0.3931536844,,,,0.0908871891,,,,0.4545564055,,,,0.5454435945,,,,0.6584491355
2026-06-12T04:00:00Z,720.52,0.0065377738,0.0065164953,0.0014248994,0.0051055994,0.0037106269,0.0087604274,,,,0.0026758452,,,,0.2,,,,0.4,,,,0.6,,,,-0.2557051386,,,,-0.4468855022,,,,0.2,,,,0.2,,,,0,,,,0.9858546605,,,,1.0059679121,,,,0.9516460334,,,,0.9813468051,,,,0.9935046911,,,,1,,,,0.008793649,,,,0.0225943798,,,,0.0788414792,,,,0.8901379663,,,,0.0134771669,,,,0.2628797886,,,,0.3685601057,,,,0.6314398943,,,,1.3330913996,,,,0.4363204097,,,,-0.2715547558,,,,0.6357773779,,,,0.3642226221,,,,0.4565386518
2026-06-15T04:00:00Z,742.99,0.0311858102,0.0307094121,0.0232054627,0.0077993598,0.0012343335,0.0008545385,,,,0.0133783766,,,,0.2,,,,0.4,,,,0.6,,,,-0.3048608393,,,,-0.7394138255,,,,0.8,,,,0,,,,0.8,,,,0.9635042194,,,,1.001224781,,,,0.9228657182,,,,0.9516682593,,,,0.9697573319,,,,1,,,,0.0097390274,,,,0.0387691189,,,,0.7264080097,,,,0.9843696324,,,,0.0221987286,,,,0.3831698217,,,,0.3084150891,,,,0.6915849109,,,,1.8258107859,,,,0.7345676449,,,,-0.1508075351,,,,0.5754037675,,,,0.4245962325,,,,0.4198578732
2026-06-16T04:00:00Z,729.07,-0.0187351108,-0.0189128363,-0.0020727062,-0.0166970126,0.0026164947,0.0002832288,,,,0.0136351791,,,,0.2,,,,0.4,,,,0.6,,,,-0.2823677711,,,,-0.960633555,,,,0.6,,,,0,,,,0.6,,,,0.9879325716,,,,1.0203409823,,,,0.9494835887,,,,0.9818535943,,,,1,,,,0.8,,,,-0.0152029298,,,,0.0310997341,,,,0.7265071935,,,,0.7129307007,,,,0.0226232963,,,,0.281526053,,,,0.3592369735,,,,0.6407630265,,,,1.0783269511,,,,0.2155414239,,,,-0.7196368804,,,,0.8598184402,,,,0.1401815598,,,,0.4571541637
2026-06-17T04:00:00Z,721.69,-0.0101224848,-0.0101740655,0.0073929801,-0.0173869237,0.0003267707,0.0022193176,0.0017732788,,,0.0028059139,,,,0.2,,,,0.4,,,,0.6,,,,-0.6540268586,-0.7804525702,,,-0.7018898636,0.7,,,0.4,0.3,,,0,0.4,,,0.4,0.9962282975,,,1.0060025773,1.0307749865,,,1.0307749865,0.9501032299,,,0.9621305547,0.9797558509,,,0.9983788053,1.0102259973,,,1.0102259973,0.7,,,0.6,-0.0042080521,,,-0.0116144051,,,,0.0414898837,0.0623496917,,,0.0911422806,0.6185159739,,,0.5516754138,0.0203979649,,,0.0131440557,,,,0.4029432376,,,,0.2985283812,,,,0.7014716188,1.6060633671,,,1.2340703218,0.6489843617,,,0.2242265063,,,,-0.5411905348,,,,0.7705952674,,,,0.2294047326,,,,0.6148282259
