date,Close,Return,LogReturn,Gap,Body,UpperShadow,LowerShadow,BETA10,BETA20,BETA30,BETA5,BETA60,CNTD10,CNTD20,CNTD30,CNTD5,CNTD60,CNTN10,CNTN20,CNTN30,CNTN5,CNTN60,CNTP10,CNTP20,CNTP30,CNTP5,CNTP60,CORD10,CORD20,CORD30,CORD5,CORD60,CORR10,CORR20,CORR30,CORR5,CORR60,IMAX10,IMAX20,IMAX30,IMAX5,IMAX60,IMIN10,IMIN20,IMIN30,IMIN5,IMIN60,IMXD10,IMXD20,IMXD30,IMXD5,IMXD60,MA10,MA20,MA30,MA5,MA60,MAX10,MAX20,MAX30,MAX5,MAX60,MIN10,MIN20,MIN30,MIN5,MIN60,QTLD10,QTLD20,QTLD30,QTLD5,QTLD60,QTLU10,QTLU20,QTLU30,QTLU5,QTLU60,RANK10,RANK20,RANK30,RANK5,RANK60,RESI10,RESI20,RESI30,RESI5,RESI60,ROC10,ROC20,ROC30,ROC5,ROC60,RSQR10,RSQR20,RSQR30,RSQR5,RSQR60,RSV10,RSV20,RSV30,RSV5,RSV60,STD10,STD20,STD30,STD5,STD60,SUMD10,SUMD20,SUMD30,SUMD5,SUMD60,SUMN10,SUMN20,SUMN30,SUMN5,SUMN60,SUMP10,SUMP20,SUMP30,SUMP5,SUMP60,VMA10,VMA20,VMA30,VMA5,VMA60,VSTD10,VSTD20,VSTD30,VSTD5,VSTD60,VSUMD10,VSUMD20,VSUMD30,VSUMD5,VSUMD60,VSUMN10,VSUMN20,VSUMN30,VSUMN5,VSUMN60,VSUMP10,VSUMP20,VSUMP30,VSUMP5,VSUMP60,WVMA10,WVMA20,WVMA30,WVMA5,WVMA60
2026-07-29T18:20:00Z,480.2,0.0072364971,0.0072104393,0.0007341374,0.0064975896,0.0014671977,0.0053447914,0.0022606111,-0.002153567,-0.0020294242,0.0030466472,-0.0017915636,0.2,-0.1,-0.1333333333,0.6,-0.0666666667,0.4,0.55,0.5666666667,0.2,0.5333333333,0.6,0.45,0.4333333333,0.8,0.4666666667,0.1627627147,0.2301920775,0.2169302046,0.2700098804,-0.1435891229,0.2282002345,-0.1955330044,-0.2916558627,0.5254930605,-0.3479326491,0.8,0.05,0.3666666667,0.6,0.0166666667,0.2,0.6,0.7333333333,0,0.8666666667,0.6,-0.55,-0.3666666667,0.6,-0.85,0.9846220325,0.996108913,1.0062286547,0.9909933361,1.0304742815,1.0038525614,1.0379633486,1.0379633486,1.0038525614,1.1226364015,0.9702623907,0.9702623907,0.9702623907,0.9800291545,0.9702623907,0.9795710121,0.9808413161,0.9858912953,0.9878071637,0.9978134111,0.9880049979,1.0141607663,1.0267180342,0.9928154935,1.0566847147,1,0.7,0.4666666667,1,0.2333333333,0.0052052175,0.0243499732,0.0231979955,0.0029133694,0.0223768443,0.0143106089,-0.0243208647,-0.0300165636,0.020031013,-0.0888564218,0.7390119399,0.5015649625,0.7438011099,0.7414690334,0.7861992586,0.8853068816,0.4392494617,0.4392494617,0.8382867133,0.1951619516,0.0075531325,0.0175343879,0.0203673082,0.005003693,0.0349917943,0.3294432288,-0.2005361032,-0.2033944703,0.8549410698,-0.2134554902,0.3352783856,0.6002680516,0.6016972351,0.0725294651,0.6067277451,0.6647216144,0.3997319484,0.3983027649,0.9274705349,0.3932722549,0.8393313349,0.8205231035,0.650290313,0.8939587891,0.7083011513,0.4506308651,0.529083697,0.5011878086,0.4717525482,0.5922094163,0.0587646673,0.069409126,-0.0295927026,-0.1616646551,-0.0564176764,0.4706176663,0.465295437,0.5147963513,0.5808323276,0.5282088382,0.5293823337,0.534704563,0.4852036487,0.4191676724,0.4717911618,0.7391080957,1.0636496593,1.3282861311,0.7306075248,1.3060761253
2026-07-29T18:40:00Z,488.75,0.0178050812,0.0176484275,0.0009787589,0.0168098696,0.0000416086,0,0.0037517477,-0.0012602811,-0.0017383885,0.0073810742,-0.0016322172,0.4,-0.1,-0.1333333333,0.6,-0.0666666667,0.3,0.55,0.5666666667,0.2,0.5333333333,0.7,0.45,0.4333333333,0.8,0.4666666667,-0.1526150042,0.1605979068,0.1673782769,0.0067647603,-0.1298982806,0.0437152392,-0.1777605157,-0.2921337306,0.2840064638,-0.2700276448,0.9,0,0.3333333333,0.8,0,0.1,0.55,0.7,0,0.85,0.8,-0.55,-0.3666666667,0.8,-0.85,0.971029156,0.9780040921,0.9881248082,0.9795130435,1.0107807332,1.0000409207,1.0198056266,1.0198056266,1.0000409207,1.1029974425,0.9532890026,0.9532890026,0.9532890026,0.9667928389,0.9532890026,0.9624347826,0.9636828645,0.9686445013,0.9705268542,0.9803580563,0.9754475703,0.9964194373,1.0081227621,0.9825063939,1.0367263427,1,0.85,0.5666666667,1,0.3666666667,0.0120879795,0.0339685787,0.0370818249,0.0057248082,0.0373696756,0.0376857749,-0.013403581,-0.0148155614,0.0301618751,-0.0909175455,0.7910621005,0.2045823406,0.593833535,0.8583463133,0.7580972331,0.9991247265,0.7022454629,0.7022454629,0.9987692308,0.3120131201,0.0121158895,0.0160667927,0.0195255691,0.0112668703,0.0324650299,0.6650430873,-0.1021224239,-0.0912250217,0.899434318,-0.2249010767,0.1674784564,0.5510612119,0.5456125109,0.050282841,0.6124505383,0.8325215436,0.4489387881,0.4543874891,0.949717159,0.3875494617,1.305214786,1.2505384833,0.9864731366,1.1941536095,1.0784262521,0.6387686318,0.7816953148,0.7490153947,0.6867160786,0.8772398091,0.0696787161,0.0240322019,0.0176297203,-0.1613422531,0.0236534103,0.465160642,0.487983899,0.4911851399,0.5806711265,0.4881732949,0.534839358,0.512016101,0.5088148601,0.4193288735,0.5118267051,0.7232096267,1.0000902765,1.2513999246,0.7827121814,1.2631814016
2026-07-29T19:00:00Z,480.295,-0.0172992327,-0.0174506128,0.0002046036,-0.0175002557,0.003907129,0.0004193515,0.0038825886,-0.0006891676,-0.0016411378,0.0049761084,-0.0015487425,0.4,-0.1,-0.1333333333,0.6,-0.1,0.3,0.55,0.5666666667,0.2,0.55,0.7,0.45,0.4333333333,0.8,0.45,-0.2571374137,0.1455416525,0.1461678658,-0.2880044831,-0.1235069785,0.0053560726,-0.1693032262,-0.3048334462,0.1169787887,-0.1226883685,0.9,0.1,0.3,0.8,0,0,0.5,0.6666666667,0,0.8333333333,0.9,-0.4,-0.3666666667,0.8,-0.8333333333,0.9901851987,0.9937970414,1.0045454703,0.9995273738,1.0265340398,1.0217886924,1.0325945513,1.0377580445,1.0217886924,1.1116709522,0.9700704775,0.9700704775,0.9700704775,0.9852070082,0.9700704775,0.9801684381,0.9806473105,0.9856962908,0.9926191195,0.9976160485,0.9998022049,1.0002602567,1.0247243881,1,1.0547684236,0.9,0.75,0.5,0.8,0.25,-0.0076568473,0.0127500509,0.0192510271,-0.0094795907,0.0191538647,0.0210569953,-0.0276838674,-0.0283919649,0.0140507558,-0.1090634217,0.8064446786,0.074793674,0.5364527448,0.4791711424,0.7539952916,0.5787037037,0.4786879787,0.4421716395,0.4043824701,0.2113659756,0.0124182688,0.0145307574,0.0193940505,0.01016622,0.0308883854,0.2868104821,-0.1897855805,-0.1608503811,0.2824103543,-0.26208572,0.3565947589,0.5948927902,0.5804251905,0.3587948228,0.63104286,0.6434052411,0.4051072098,0.4195748095,0.6412051772,0.36895714,0.7682674588,0.7022168983,0.5490752987,0.7722958177,0.594152592,0.3254010546,0.4177095043,0.408764165,0.3537688667,0.4667276344,0.1713717566,0.068349336,0.0569532024,0.2890016889,0.0435920211,0.4143141217,0.465825332,0.4715233988,0.3554991556,0.4782039894,0.5856858783,0.534174668,0.5284766012,0.6445008444,0.5217960106,0.8078769483,0.9647424944,1.2412776257,0.7035048064,1.2273073061
2026-07-29T19:20:00Z,471.77,-0.0177495081,-0.0179089198,-0.0024672337,-0.0153200726,0.0035899898,0,0.0023461612,-0.0004105559,-0.0016590327,-0.0020910613,-0.0015193393,0.4,-0.1,-0.1333333333,0.2,-0.1,0.3,0.55,0.5666666667,0.4,0.55,0.7,0.45,0.4333333333,0.6,0.45,-0.0416388345,0.1813835313,0.1610825955,-0.0336511101,-0.0108422694,-0.0463253925,-0.3067816139,-0.2894009235,-0.4003904974,-0.1469011951,0.8,0.05,0.2666666667,0.6,0,0,0.45,0.6333333333,0.8,0.8166666667,0.8,-0.4,-0.3666666667,-0.2,-0.8166666667,1.0090192255,1.0097139496,1.0211766327,1.0164974458,1.0430412772,1.0402526655,1.0512537889,1.0565105878,1.0402526655,1.1225597219,0.989973928,0.9875998898,0.9875998898,1,0.9875998898,1,0.9983678487,1.0006147063,1.0105559913,1.0105559913,1.0178688768,1.0180702461,1.0410581427,1.0180702461,1.0730016745,0.3,0.3,0.2,0.2,0.1,-0.019576951,-0.0058136683,0.0028793418,-0.0123153231,0.0017792314,0.009500781,-0.0392236727,-0.0436448409,-0.0054285383,-0.1091703881,0.3366617027,0.0312519459,0.5325892555,0.0631994472,0.753695127,0.1994097808,0.1948051948,0.1799446324,0,0.0918800063,0.0116141644,0.0133915121,0.0196765057,0.0117631904,0.0303079952,0.111,-0.2480680062,-0.2272295515,-0.0820455632,-0.2588480222,0.4445,0.6240340031,0.6136147757,0.5410227816,0.6294240111,0.5555,0.3759659969,0.3863852243,0.4589772184,0.3705759889,1.171958554,0.9698012682,0.8553736027,1.2879257371,0.9000898869,0.4839820699,0.4911280398,0.6046945464,0.3900310578,0.7034538343,0.0221271799,-0.140853281,0.0497422453,0.1606589131,0.0076134664,0.48893641,0.5704266405,0.4751288774,0.4196705435,0.4961932668,0.51106359,0.4295733595,0.5248711226,0.5803294565,0.5038067332,0.7483963263,0.9652453139,1.1636674452,0.4095006061,1.2235164036
2026-07-29T19:40:00Z,464.49,-0.0154312483,-0.0155515492,-0.0028827607,-0.0125847665,0.0048893518,0.0008503221,0.0000617164,-0.0004199043,-0.0017219575,-0.0104200306,-0.001532558,0.2,-0.1,-0.2,-0.2,-0.1,0.4,0.55,0.6,0.6,0.55,0.6,0.45,0.4,0.4,0.45,-0.2991689301,0.1148035307,0.1076726136,-0.5318640352,-0.0305056756,-0.4209613288,-0.0947201983,-0.359908221,-0.7893595986,-0.2073733871,0.7,0,0.2333333333,0.4,0,0.9,0.95,0.9666666667,0.8,0.9833333333,-0.2,-0.95,-0.7333333333,-0.4,-0.9833333333,1.0238002971,1.0231162135,1.0349612837,1.0271502078,1.0573376176,1.0565566535,1.0677301987,1.0730693879,1.0565566535,1.123823979,0.9991388404,0.9991388404,0.9991388404,0.9991388404,0.9991388404,1.0156731038,1.013520205,1.0156731038,1.0156731038,1.0248229241,1.0338220414,1.0338220414,1.0571379362,1.0340265668,1.0887209628,0.1,0.05,0.0333333333,0.2,0.0166666667,-0.0240780211,-0.0191271225,-0.0099929001,-0.0063101466,-0.0121271559,-0.0102282171,-0.0462217659,-0.0624508003,-0.025715784,-0.1095924549,0.0001758167,0.0316099923,0.5395899954,0.6830387269,0.7537511582,0.0149981252,0.0125549278,0.0116482236,0.0149981252,0.0069066736,0.0133689629,0.013618647,0.0202898906,0.0178304099,0.0305705485,-0.105913504,-0.2782791445,-0.3097097097,-0.3381136238,-0.2567015401,0.552956752,0.6391395723,0.6548548549,0.6690568119,0.6283507701,0.447043248,0.3608604277,0.3451451451,0.3309431881,0.3716492299,0.3006492252,0.2348491268,0.1932377564,0.3725182088,0.1853054121,0.2507045457,0.194381051,0.1885923848,0.316852889,0.1709668372,0.4004250015,0.3723335383,0.231004194,0.5078016022,0.1126054513,0.2997874993,0.3138332308,0.384497903,0.2460991989,0.4436972743,0.7002125007,0.6861667692,0.615502097,0.7539008011,0.5563027257,1.2725172198,1.3932266323,1.6524869868,0.8887300498,1.5222598631
2026-07-29T20:00:00Z,463.01,-0.0031862903,-0.0031913774,0.0021744279,-0.005349087,0.0000214823,0.0002577873,-0.0021023173,-0.0002940793,-0.0017911404,-0.0145320835,-0.0015517837,0,-0.2,-0.2,-0.6,-0.1,0.5,0.6,0.6,0.8,0.55,0.5,0.4,0.4,0.2,0.45,-0.2550684843,-0.2143535679,0.1047622824,-0.4362059015,-0.0319526118,0.302431538,0.2698011117,-0.1642539459,0.2729287767,-0.1441589366,0.6,0,0.2,0.2,0.25,0.9,0.95,0.9666666667,0.8,0.9833333333,-0.3,-0.95,-0.7666666667,-0.6,-0.7333333333,1.0253968597,1.0234708754,1.0361082914,1.0230081424,1.0588675191,1.0599339107,1.0629792013,1.0764994277,1.0599339107,1.1201593918,0.9997408263,0.9997408263,0.9997408263,0.9997408263,0.9997408263,1.0189196778,1.0159391806,1.0172566467,1.0031964752,1.0246862919,1.0371266279,1.0348588583,1.0599771063,1.0373318071,1.0920930433,0.1,0.05,0.0333333333,0.2,0.0166666667,-0.0159364318,-0.0206771221,-0.0101367559,0.0060560247,-0.0130898989,-0.0164836332,-0.0551009163,-0.0608887897,-0.0357975843,-0.0999027994,0.1521041261,0.0177504986,0.5526014364,0.9575147429,0.7551015576,0.0043057051,0.0040983607,0.0033764772,0.0043057051,0.0021522733,0.0154829868,0.0127278484,0.0208551272,0.0210024592,0.0309263604,-0.1712268314,-0.3402217742,-0.3032935947,-0.501312336,-0.2368966948,0.5856134157,0.6701108871,0.6516467973,0.750656168,0.6184483474,0.4143865843,0.3298891129,0.3483532027,0.249343832,0.3815516526,56.7879310345,47.8442970822,40.8982758621,69.6734748011,38.7281388152,56.431630567,42.7268592759,40.3574367495,74.1635772034,36.7177686004,-0.1205843989,-0.0580488041,-0.0068149675,-0.1070270525,-0.0243900604,0.5602921994,0.5290244021,0.5034074838,0.5535135263,0.5121950302,0.4397078006,0.4709755979,0.4965925162,0.4464864737,0.4878049698,1.3355189546,1.4444126189,1.6595301061,1.0000865653,1.5698275968
2026-07-29T20:20:00Z,460.64,-0.0051186799,-0.0051318253,-0.0066737219,0.0015654897,-0,0,-0.0038337965,-0.0004818484,-0.0018732003,-0.0104354811,-0.0016183124,-0.2,-0.2,-0.2,-1,-0.1,0.6,0.6,0.6,1,0.55,0.4,0.4,0.4,0,0.45,-0.2048481663,-0.1693600742,0.1129541633,-0.6875818193,-0.0320710745,0.555867386,0.472686674,0.0580821554,0.5993927291,-0.0466158604,0.5,0.75,0.1666666667,0,0.2333333333,0.9,0.95,0.9666666667,0.8,0.9833333333,-0.4,-0.2,-0.8,-0.8,-0.75,1.0276767107,1.0265896362,1.0391176769,1.0160667767,1.062782397,1.0653872873,1.0653872873,1.082038034,1.0653872873,1.1259226294,0.9984369573,0.9984369573,0.9984369573,0.9984369573,0.9984369573,1.0083579368,1.0187782216,1.0219911428,1.0051450156,1.0297520841,1.0424626606,1.0349730809,1.0639544981,1.0241620354,1.0977118791,0.1,0.05,0.0333333333,0.2,0.0166666667,-0.0104246266,-0.0220120764,-0.0119562731,0.0048041855,-0.0150421806,-0.0290869235,-0.0411723076,-0.0651079721,-0.0575140665,-0.0842329178,0.3705371882,0.0405751053,0.5656108521,0.8999505455,0.7699540286,0.0233463035,0.0233463035,0.0186964425,0.0233463035,0.0122605364,0.0180900649,0.0137935616,0.0215583027,0.0155567241,0.0319396586,-0.3134938664,-0.2741890768,-0.3174980206,-1,-0.2037901015,0.6567469332,0.6370945384,0.6587490103,1,0.6018950507,0.3432530668,0.3629054616,0.3412509897,0,0.3981049493,232.2939759036,202.3798192771,184.5939759036,286.9108433735,171.4865461847,267.6659017101,198.5976387673,184.3730936786,356.2080145788,167.8358635451,-0.0969765582,-0.0915687878,-0.0074843643,-0.0749806688,-0.0334071671,0.5484882791,0.5457843939,0.5037421822,0.5374903344,0.5167035835,0.4515117209,0.4542156061,0.4962578178,0.4625096656,0.4832964165,1.459362402,1.6213793764,1.6603058903,1.1915816346,1.6351213623
2026-07-30T12:00:00Z,482.7,0.0478898923,0.0467785158,0.0436566516,0.0040561622,-0,0,-0.0025717712,0.0000353821,-0.0015552649,0.0037310959,-0.0014888228,0,-0.1,-0.1333333333,-0.6,-0.1,0.5,0.55,0.5666666667,0.8,0.55,0.5,0.45,0.4333333333,0.2,0.45,-0.1104182231,-0.0928170148,0.0624889475,-0.0616902212,-0.0366780727,0.2725809742,0.1878672631,0.0146502473,-0.1478169142,-0.0510212467,0.4,0.7,0.1333333333,0.8,0.2166666667,0.8,0.9,0.9333333333,0.6,0.9666666667,-0.4,-0.2,-0.8,0.2,-0.75,0.9825875285,0.9800409157,0.9910458532,0.9706277191,1.0131998826,1.0166977419,1.0166977419,1.0325875285,1,1.0744665424,0.9528071266,0.9528071266,0.9528071266,0.9528071266,0.9528071266,0.9622747048,0.9722187694,0.975284856,0.9592086182,0.9826911125,0.9950176093,0.9876735032,1.0151439818,0.9773565362,1.047027139,0.9,0.95,0.7,1,0.3666666667,0.0289854417,0.0196229542,0.0315054877,0.0219100891,0.03072039,0.019128452,0.0074089534,-0.0171845095,0.0050073392,-0.0572449757,0.1645123439,0.0002245427,0.4497000105,0.1012580203,0.7425206987,0.7386511025,0.7386511025,0.5915346663,1,0.3879097488,0.018212101,0.0136153926,0.0200739178,0.0165819918,0.0299218905,0.1387867647,0.0382007963,-0.0694535879,0.0576531224,-0.1326424402,0.4306066176,0.4808996019,0.5347267939,0.4711734388,0.5663212201,0.5693933824,0.5191003981,0.4652732061,0.5288265612,0.4336787799,185.158,162.68025,150.0685,192.213,136.524,227.2581282617,168.3758014493,155.1412984409,310.7039622792,137.7998094907,-0.0371354331,-0.0412682083,-0.0245855817,-0.1501728248,-0.0539168148,0.5185677166,0.5206341041,0.5122927909,0.5750864124,0.5269584074,0.4814322834,0.4793658959,0.4877072091,0.4249135876,0.4730415926,1.4665830232,1.6370296365,1.6736171269,1.5796823981,1.6902566934
2026-07-30T12:20:00Z,484.53,0.0037911746,0.0037840063,-0.0021131137,0.0059167912,-0,0,-0.0014029841,0.0003404819,-0.0013006262,0.0123356655,-0.0014403984,0,0,-0.0666666667,-0.2,-0.0666666667,0.5,0.5,0.5333333333,0.6,0.5333333333,0.5,0.5,0.4666666667,0.4,0.4666666667,-0.0677708131,-0.0446227969,0.073447736,-0.111532916,-0.0340352974,0.1957468829,0.0921938049,-0.0089809993,-0.1601859016,-0.060999605,0.3,0.65,0.1,0.8,0.2,0.7,0.85,0.9,0.4,0.95,-0.4,-0.2,-0.8,0.4,-0.75,0.980978474,0.9776262564,0.9869196266,0.9722287578,1.0086449755,1.012857821,1.012857821,1.0286875942,1,1.070408437,0.9492085113,0.9492085113,0.9492085113,0.9492085113,0.9492085113,0.9586403319,0.9685468392,0.9716013456,0.9555858254,0.9789796297,0.9962231441,0.9910635048,1.008709471,0.9962231441,1.041689885,0.9,0.95,0.7333333333,1,0.3833333333,0.0253349544,0.0191391658,0.031939454,0.0030999113,0.0338467766,0.0214717136,0.0264161335,-0.0113650275,0.027047078,-0.0418627645,0.0439627769,0.0183464251,0.3286244438,0.66965915,0.7153351887,0.7979896239,0.7979896239,0.639054791,1,0.4190719455,0.0192192821,0.0144948625,0.0196377535,0.0213182072,0.0294936233,0.1533770047,0.1422379377,-0.0455400213,0.364363221,-0.0977874267,0.4233114976,0.4288810311,0.5227700106,0.3178183895,0.5488937133,0.5766885024,0.5711189689,0.4772299894,0.6821816105,0.4511062867,16.6040497009,14.4596180396,13.6162908422,15.0751955821,12.2182543335,21.1998958634,15.77880873,14.4124481854,29.3945900886,12.7095729155,-0.0231977246,-0.0435577287,-0.0166809323,-0.0972505945,-0.035575365,0.5115988623,0.5217788644,0.5083404661,0.5486252973,0.5177876825,0.4884011377,0.4782211356,0.4916595339,0.4513747027,0.4822123175,1.470606752,1.7451692645,1.6797908291,1.9789239745,1.7575623845
2026-07-30T12:40:00Z,486.37,0.0037974945,0.0037903022,0.0043547355,-0.0005548249,0.0005548249,0.0013356896,0.0000391895,0.0007873195,-0.0010087373,0.014517754,-0.0013974193,0,0,-0.0666666667,0.2,-0.0333333333,0.5,0.5,0.5333333333,0.4,0.5166666667,0.5,0.5,0.4666666667,0.6,0.4833333333,-0.0957597953,-0.0472519855,0.0693825776,0.1338253175,-0.0445417115,0.084052297,-0.0417746045,-0.0352973927,0.4270760666,-0.055857179,0.2,0.6,0.0666666667,0.8,0.1833333333,0.6,0.8,0.8666666667,0.2,0.9333333333,-0.4,-0.2,-0.8,0.6,-0.75,0.9792452248,0.9749917758,0.9828837442,0.9775479573,1.0043017661,1.0090260501,1.0090260501,1.0247959372,1.0011102658,1.0663589448,0.945617534,0.945617534,0.945617534,0.945617534,0.945617534,0.9550136727,0.9648827025,0.9679256533,0.9519707219,0.9752760244,0.9962168719,0.9875095092,1.0012953102,0.9962168719,1.0377490388,0.9,0.95,0.7666666667,1,0.4333333333,0.0205784223,0.0175286892,0.0317429471,-0.0065834653,0.0369221031,0.0201782905,0.0217427839,-0.0089856962,0.0471054275,-0.0306720344,0.0000306432,0.0857986971,0.2061796578,0.7934768479,0.6878660405,0.8576523995,0.8576523995,0.6868345884,0.9799925898,0.4504044274,0.0203343136,0.0154990997,0.0192284559,0.0230487459,0.0291793156,0.1461117861,0.1209818819,-0.0357171783,0.739688979,-0.0717850646,0.4269441069,0.439509059,0.5178585891,0.1301555105,0.5358925323,0.5730558931,0.560490941,0.4821414109,0.8698444895,0.4641074677,38.4549492386,38.3220177665,37.3096869712,1.035786802,33.4489213198,59.0176627098,44.3098773796,39.9408374897,0.9235288364,35.2236127055,-0.158541705,-0.0477065365,-0.0074460016,-0.9754832799,-0.0093240074,0.5792708525,0.5238532683,0.5037230008,0.9877416399,0.5046620037,0.4207291475,0.4761467317,0.4962769992,0.0122583601,0.4953379963,1.5943659126,1.8190645262,1.6813819311,0.715472406,1.773903861
