date,Close,Return,LogReturn,Gap,Body,UpperShadow,LowerShadow,BETA10,BETA20,BETA5,CNTD10,CNTD20,CNTD5,CNTN10,CNTN20,CNTN5,CNTP10,CNTP20,CNTP5,CORD10,CORD20,CORD5,CORR10,CORR20,CORR5,IMAX10,IMAX20,IMAX5,IMIN10,IMIN20,IMIN5,IMXD10,IMXD20,IMXD5,MA10,MA20,MA5,MAX10,MAX20,MAX5,MIN10,MIN20,MIN5,QTLD10,QTLD20,QTLD5,QTLU10,QTLU20,QTLU5,RANK10,RANK20,RANK5,RESI10,RESI20,RESI5,ROC10,ROC20,ROC30,ROC5,RSQR10,RSQR20,RSQR5,RSV10,RSV20,RSV5,STD10,STD20,STD5,SUMD10,SUMD20,SUMD5,SUMN10,SUMN20,SUMN5,SUMP10,SUMP20,SUMP5,VMA10,VMA20,VMA5,VSTD10,VSTD20,VSTD5,VSUMD10,VSUMD20,VSUMD5,VSUMN10,VSUMN20,VSUMN5,VSUMP10,VSUMP20,VSUMP5,WVMA10,WVMA20,WVMA5
2026-06-04T07:00:00Z,15.3999996185,,,,-0.056950417,0.028781342,0.0134720952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T07:00:00Z,21.5100002289,0.3967532962,0.3341504693,0.0305194986,0.3553875478,0.0037806847,0.0195336779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-08T07:00:00Z,18.9200000763,-0.1204091179,-0.1282983863,-0.0567177731,-0.0675209846,0.0029570953,0.0482996303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T07:00:00Z,19.8700008392,0.0502114566,0.0489915311,-0.0385834852,0.0923584528,0.1907641128,0.0368334281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-10T07:00:00Z,22.2199993134,0.1182686651,0.1117816545,0.0115752155,0.1054725817,0.0218905734,0.0019900953,,,0.0540054022,,,,,,,,,,,,,,,0,,,0.6,,,0,,,0.6,,,0.8813681647,,,1.0504050798,,,0.6831683517,,,0.8514851783,,,0.9680468449,,,1,,,0.0106210308,,,,,,,0.5019779179,,,0.8627449926,,,0.1077977997,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
2026-06-11T07:00:00Z,19.4400005341,-0.1251124602,-0.1336599268,-0.0436543359,-0.0851764455,0.0630588307,0.0037647023,,,-0.0043209883,,,0.2,,,0.4,,,0.6,,,0,,,0,,,0.4,,,0,,,0.4,,,1.0489711748,,,1.2006172588,,,0.8004115222,,,1,,,1.1064814629,,,0.4,,,-0.0403291982,,,,0.2623377283,,,0.0088899271,,,0.4987146848,,,0.0648110402,,,0.2733424391,,,0.3633287805,,,0.6366712195,,,0,,,0,,,0,,,0,,,0,,,0
2026-06-12T07:00:00Z,17.6800003052,-0.0905349887,-0.094898752,0.0036008072,-0.0937980473,0.0174269681,0.0046130267,,,-0.0164592749,,,-0.2,,,0.6,,,0.4,,,0,,,0,,,0.2,,,0.2,,,0,,,1.1100678662,,,1.3201357324,,,0.990950235,,,1.0701357324,,,1.1238688063,,,0.2,,,-0.0771493165,,,,-0.1780567124,,,0.0762320734,,,0.0274913842,,,0.0843056789,,,-0.3672100203,,,0.6836050102,,,0.3163949898,,,0,,,0,,,0,,,0,,,0,,,0
2026-06-15T07:00:00Z,16.2000007629,-0.0837103799,-0.0874227851,-0.0509049549,-0.0345649523,0.0041716145,0.0131109185,,,-0.0733333247,,,-0.2,,,0.6,,,0.4,,,0,,,0,,,0,,,0.8,,,-0.8,,,1.1779012008,,,1.4407406823,,,0.9864196784,,,1.0913579921,,,1.2265432039,,,0.2,,,-0.0312345514,,,,-0.1437631767,,,0.6763302543,,,0.0298914677,,,0.1261063528,,,-0.2918454892,,,0.6459227446,,,0.3540772554,,,0,,,0,,,0,,,0,,,0,,,0
2026-06-16T07:00:00Z,16.4099998474,0.0129629058,0.0128796065,-0,0.0129629058,0.0018518942,0.0265432275,,,-0.0905545329,,,-0.2,,,0.6,,,0.4,,,0,,,0,,,0,,,0.8,,,-0.8,,,1.120658155,,,1.3808653296,,,0.9609994274,,,1,,,1.1846435536,,,0.4,,,0.0604509107,,,,-0.1741318996,,,0.8835612437,,,0.0928881635,,,0.1362406991,,,-0.4032637017,,,0.7016318509,,,0.2983681491,,,0,,,0,,,0,,,0,,,0,,,0
2026-06-17T07:00:00Z,18.4400005341,0.1237051009,0.1166313513,-0.0201096848,0.1467662078,0.0248755983,0.0037313101,-0.0102839645,,-0.0177331907,,,-0.2,,,0.6,,,0.4,,,0,0,,0,0.3,,0,0,,0.6,0.3,,-0.6,1.0091648409,,0.9562906663,1.2657266527,,1.2250542027,0.8232104049,,0.8552060738,0.8899131981,,0.8899131981,1.0775488212,,1,0.5,,0.8,0.0371129994,,0.0791757151,,,,-0.170116962,0.0649762278,,0.1431844685,0.3995098394,,0.3914956299,0.115880483,,0.0662756394,,,-0.4576270639,,,0.7288135319,,,0.2711864681,0,,0,0,,0,,,0,,,0,,,0,,,0
2026-06-18T07:00:00Z,16.3999996185,-0.1106291137,-0.1172409355,-0.0656182731,-0.0481717902,0.0214742222,0.0029018711,-0.0319549169,,-0.0019512293,0,,-0.2,0.5,,0.6,0.5,,0.4,0,,0,0,,0,0.2,,0,0,,0.4,0.2,,-0.4,1.140792722,,1.0381707689,1.4231707741,,1.2103659051,0.9487805355,,0.9615854161,1.0006097701,,1,1.2115854452,,1.0780488242,0.2,,0.4,0.003004404,,-0.0342683102,0.0649350665,,,-0.1563786436,0.5644306266,,0.0026387111,0.1079690524,,0.1544115619,0.1221685393,,0.0537189342,0.0448430509,,-0.4042554163,0.4775784746,,0.7021277081,0.5224215254,,0.2978722919,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2026-06-22T07:00:00Z,17.2800006866,,,,-0.0114415824,0.0251716559,0.0451945616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0866807285,,,0.0666666588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-23T07:00:00Z,19.4899997711,0.1278934605,0.1203516987,0.1383101444,-0.0091510068,0.0442298341,0.0447381371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0191243609,,,0.1876904298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-24T07:00:00Z,18.6299991608,-0.0441252242,-0.0451283622,-0.0184710423,-0.0261369588,0.0632514922,0.0308415197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1615661685,,,0.0103036129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25T07:00:00Z,18.8899993896,0.0139559979,0.0138595096,-0.0279118934,0.0430700581,0.0585312721,0.0215351344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0282922392,,,0.1518292579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26T07:00:00Z,18.4099998474,-0.0254102466,-0.0257386622,0.0428799047,-0.0654822774,0.0517765742,0.0106598516,,,0.0090168276,,,,,,,,,,,,,,,0,,,0.8,,,0,,,0.8,,,1.0070613756,,,1.1254752572,,,0.8957088489,,,1,,,1.0260727619,,,0.4,,,-0.0250950307,0.0412895662,,,,,,0.1044736118,,,0.4539007764,,,0.039451676,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
2026-06-29T07:00:00Z,17.6499996185,-0.0412819248,-0.0421582252,0.0103205071,-0.0510753088,0.0456989443,0.0086021422,,,-0.0220963156,,,-0.2,,,0.6,,,0.4,,,0,,,0,,,0.6,,,0.8,,,-0.2,,,1.0546175615,,,1.1739376635,,,0.9909348526,,,1.043059504,,,1.0702549461,,,0.2,,,-0.0104249303,0.089506098,,,0.0214119744,,,0.8381456505,,,0.0495355635,,,0.0341330514,,,0.0809625726,,,0.4595187137,,,0.5404812863,,,0,,,0,,,0,,,0,,,0,,,0
2026-06-30T07:00:00Z,16.4500007629,-0.0679886052,-0.0704102382,-0.0062322213,-0.0621436771,0.0119725812,0.0102622746,,,-0.0340425307,,,-0.6,,,0.8,,,0.2,,,0,,,0,,,0.4,,,0.8,,,-0.4,,,1.0945896,,,1.2595743679,,,0.9890577327,,,1.0729482553,,,1.1325226928,,,0.2,,,-0.0265045386,0.0024375939,,,-0.1559773753,,,0.8078475782,,,0.0404495172,,,0.0535638916,,,-0.8539324338,,,0.9269662169,,,0.0730337831,,,0,,,0,,,0,,,0,,,0,,,0
2026-07-01T07:00:00Z,16.5900001526,0.0085106008,0.0084745898,0.0401215694,-0.0303916095,0.0111045365,0.0362361112,,,-0.0395418776,,,-0.2,,,0.6,,,0.4,,,0,,,0,,,0.2,,,0.8,,,-0.6,,,1.0607594812,,,1.2489450948,,,0.9626280965,,,1,,,1.1097046219,,,0.4,,,0.0183242741,-0.1003253974,,,-0.1095007568,,,0.922422752,,,0.1305263179,,,0.0582247031,,,-0.7183099537,,,0.8591549769,,,0.1408450231,,,0,,,0,,,0,,,0,,,0,,,0
2026-07-02T07:00:00Z,16.1499996185,-0.0265220332,-0.0268800874,0.0277274913,-0.0527859037,0.0093841557,0.0211143503,,,-0.0345510839,,,-0.6,,,0.8,,,0.2,,,0,,,0,,,0,,,0.8,,,-0.8,,,1.0557275791,,,1.282972124,,,0.9777089991,,,1.0185759227,,,1.0928792592,,,0.2,,,0.0133745888,-0.0152439028,0.0487012999,,-0.1450502837,,,0.8670196569,,,0.0730222523,,,0.0524761787,,,-0.9072851279,,,0.953642564,,,0.046357436,,,0,,,0,,,0,,,0,,,0,,,0
2026-07-06T07:00:00Z,15.5699996948,,,,-0.0506097526,0.0060975844,0.0006097119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0989583868,-0.1770613302,,-0.1178470237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07T07:00:00Z,16.1299991608,0.0359665688,0.0353348739,0.0192678354,0.0163830672,0.0321361205,0.0214240803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1723961339,-0.188223529,,-0.019452984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08T07:00:00Z,16.8999996185,0.0477371666,0.0466327592,0.0260384438,0.0211480603,0.1214501705,0.0120845236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0928609565,-0.2394239361,,0.018685923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09T07:00:00Z,15.8400001526,-0.0627218633,-0.0647752033,-0.0189348936,-0.0446320733,0.0416164377,0.0048250859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1614610554,-0.1851851997,,-0.0191950138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10T07:00:00Z,15.029999733,-0.0511363896,-0.05249021,0.0138888454,-0.0641344811,0.006226674,0.0043586362,,,-0.0091150962,,,,,,,,,,,,,,,0,,,0.4,,,0.8,,,-0.4,,,1.0574850269,,,1.2581503781,,,0.9953426683,,,1.0359281418,,,1.0731869226,,,0.2,,,-0.0392548345,-0.1835958795,-0.1498869076,,,,,0.0976472635,,,0.0177214426,,,0.0412521145,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
2026-07-13T07:00:00Z,17.1599998474,0.141716577,0.1325328992,0.0858283423,0.0514705985,0.0153186277,0.0177695474,,,0.0011072348,,,0.2,,,0.4,,,0.6,,,0,,,0,,,0.2,,,0.6,,,-0.4,,,0.9447552358,,,1.1019813529,,,0.8717948818,,,0.9230769402,,,0.9848484714,,,1,,,0.0530302946,-0.0277620273,0.0592592,,0.1021194723,,,0.0012387474,,,0.5569620039,,,0.0444900961,,,0.2983114776,,,0.3508442612,,,0.6491557388,,,0,,,0,,,0,,,0,,,0,,,0
2026-07-14T07:00:00Z,16.5,-0.0384615299,-0.0392207043,0.0029137085,-0.0412550333,0.0203370366,0.0203370366,,,0.0031515179,,,-0.2,,,0.6,,,0.4,,,0,,,0,,,0,,,0.4,,,-0.4,,,0.9870302952,,,1.1460605968,,,0.906666669,,,0.9600000092,,,1.0242424011,,,0.6,,,0.006666669,0.0030394672,0.00548447,,0.0229386769,,,0.009125533,,,0.3898734269,,,0.046655802,,,0.0681401139,,,0.4659299431,,,0.5340700569,,,0,,,0,,,0,,,0,,,0,,,0
2026-07-15T07:00:00Z,15.6700000763,-0.0503030257,-0.0516123197,-0.0181817719,-0.0327160902,0.0228394392,0.0018518353,,,0.0072112323,,,-0.6,,,0.8,,,0.2,,,0,,,0,,,0.6,,,0.2,,,0.4,,,1.02361199,,,1.1206125961,,,0.9546904892,,,1,,,1.0529674486,,,0.4,,,-0.0380344547,-0.0554550975,-0.1502169402,,-0.0727810396,,,0.0479496891,,,0.2730769978,,,0.0465727185,,,-0.2240436418,,,0.6120218209,,,0.3879781791,,,0,,,0,,,0,,,0,,,0,,,0
2026-07-16T07:00:00Z,16.7299995422,0.0676451475,0.0654554264,0.009572407,0.0575221154,0.0316055632,0.0031605081,,,0.0114166163,,,-0.2,,,0.6,,,0.4,,,0,,,0,,,0.4,,,0,,,0.4,,,0.969396311,,,1.0496114732,,,0.894202059,,,0.9366407953,,,1,,,0.8,,,0.0077704565,0.0359133088,0.020121947,0.0863636335,0.0561868296,,,0.1240563296,,,0.6807691899,,,0.0458398236,,,0.1621128282,,,0.4189435859,,,0.5810564141,,,0,,,0,,,0,,,0,,,0,,,0
2026-07-17T07:00:00Z,18.7700004578,0.1219366988,0.1150563873,0.0765093079,0.0421987906,0.0405330113,0.0183231493,0.0099966131,,0.0183803979,,,0.2,,,0.4,,,0.6,,,0,0,,0,0.9,,0.8,0.4,,0.4,0.5,,0.4,0.8753329477,,0.903889162,1.0388918234,,1.0388918234,0.7970164983,,0.8332445371,0.834842818,,0.8790623121,0.9003728933,,0.9142247964,1,,1,0.0796822932,,0.0593500423,,,-0.1273826007,0.2488357147,0.2893155368,,0.2269512102,0.8392071479,,0.8108809308,0.0533818944,,0.0545636801,,,0.5565477048,,,0.2217261476,,,0.7782738524,0,,0,0,,0,,,0,,,0,,,0,,,0
2026-07-20T07:00:00Z,18.6499996185,-0.0063932252,-0.0064137494,0.0069259008,-0.0132275135,0.0021164506,0.0656084548,0.0134795707,,0.0396782829,0,,-0.2,0.5,,0.6,0.5,,0.4,0,,0,0,,0,0.8,,0.6,0.3,,0.2,0.5,,0.4,0.8974799015,,0.9256836618,1.0455764289,,1.0455764289,0.8021447906,,0.8386059337,0.8493297843,,0.8847185168,0.9201072492,,1,0.9,,0.8,0.0418620303,,-0.0050402277,0.1978163124,0.0792823424,-0.0142706372,0.0868298243,0.3926209282,,0.72064756,0.8127752448,,0.7797926277,0.0617897322,,0.0661007531,0.3067728728,,0.3163480801,0.3466135636,,0.3418259599,0.6533864364,,0.6581740401,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2026-07-21T07:00:00Z,17.0499992371,-0.0857909069,-0.0896959667,-0.0627345898,-0.0245995604,0.0291762152,0.0108694869,0.0133653238,,0.0274486722,-0.2,,-0.2,0.6,,0.6,0.4,,0.4,0,,0,0,,0,0.7,,0.4,0.2,,0,0.5,,0.4,0.9870968083,,1.0190029656,1.1436950658,,1.1436950658,0.8774193963,,0.917302114,0.9290323086,,0.9812316886,1.006451649,,1.0938416688,0.7,,0.6,-0.0472407656,,-0.07390031,0.0570365855,-0.1251924352,-0.1419225709,0.0333332871,0.331516394,,0.312876861,0.4603522503,,0.36528472,0.0666736077,,0.0693984252,0.0830324841,,0.0973449714,0.4584837579,,0.4513275143,0.5415162421,,0.5486724857,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2026-07-22T07:00:00Z,16.6399993896,-0.0240469129,-0.0243407603,0.02170093,-0.0447761586,0.1188289142,0,0.0133522693,,-0.0114182788,-0.4,,-0.2,0.7,,0.6,0.3,,0.4,0,,0,0,,0,0.6,,0.2,0.1,,0,0.5,,0.2,1.0098557946,,1.0557692484,1.171875043,,1.171875043,0.8990384968,,0.9477164084,0.951923121,,1.0054086632,1.0312500287,,1.1207932874,0.5,,0.2,-0.0699410066,,-0.0329326908,-0.0153846293,-0.1068169544,-0.2511251168,0.0619016789,0.3145527662,,0.0811732877,0.3700439131,,0.2332437101,0.0683809774,,0.0566772896,-0.0242537499,,0.1854682685,0.512126875,,0.4072658657,0.487873125,,0.5927341343,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2026-07-23T07:00:00Z,18.7000007629,0.123798164,0.1167141659,0.061899082,0.0582909271,0.0911148102,0.019807605,0.0139750446,,-0.0114973237,-0.2,,-0.2,0.6,,0.6,0.4,,0.4,0,,0,0,,0,0.9,,0.8,0,,0.6,0.9,,0.2,0.9139036989,,0.9605347145,1.0860961838,,1.0860961838,0.7999999694,,0.8898395032,0.8823529052,,0.9117646279,0.9973261421,,1,0.9,,0.8,0.0232086005,,0.0624599329,0.1805555923,-0.0100581595,-0.0380658308,0.1177526165,0.3808328183,,0.1087573909,0.6990656308,,0.5613082644,0.0650448614,,0.049304024,0.2440272907,,0.3162119036,0.3779863546,,0.3418940482,0.6220136454,,0.6581059518,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2026-07-24T07:00:00Z,18.5799999237,-0.0064171569,-0.0064378354,0.013903653,-0.0200421508,0.0047468437,0.0617088678,0.0110480481,,0.0081270298,-0.2,,-0.6,0.6,,0.8,0.4,,0.2,0,,0,0,,0,0.8,,0.6,0.2,,0.4,0.6,,0.2,0.9389128072,,0.964693211,1.0931108477,,1.0931108477,0.841765361,,0.8955866231,0.8955866231,,0.9176533534,1.0037674755,,1.0037674755,0.7,,0.6,0.0113709765,,0.0190527294,0.236194295,0.0092341161,0.0509049549,-0.0101225642,0.3019961318,,0.0574027089,0.6295503496,,0.5286104888,0.0577446615,,0.0479712083,0.3218494151,,-0.044083617,0.3390752924,,0.5220418085,0.6609247076,,0.4779581915,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2026-07-27T07:00:00Z,18.6700000763,0.0048439264,0.0048322324,-0.0516684116,0.0595913273,0.0715096577,0.0051078404,0.0135560215,,0.0277450573,-0.2,,-0.2,0.6,,0.6,0.4,,0.4,0,,0,0,,0,0.7,,0.4,0.1,,0.2,0.6,,0.2,0.9424745494,,0.9602570865,1.0878414238,,1.0878414238,0.8377075672,,0.8912693798,0.8912693798,,0.9132297358,1,,1,0.8,,0.8,-0.003476646,,-0.015747201,0.0879953521,0.0577903955,0.1524690862,0.0010724106,0.4160253356,,0.6705617772,0.6488223345,,0.5531336906,0.0603669637,,0.0479160739,0.1679643634,,0.0046730013,0.4160178183,,0.4976634993,0.5839821817,,0.5023365007,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2026-07-28T07:00:00Z,18.2099990845,-0.0246385104,-0.0249471182,0.0203534633,-0.044094498,0.0246719811,0.0173228313,0.0117251585,,0.017078522,-0.2,,-0.2,0.6,,0.6,0.4,,0.4,0,,0,0,,0,0.6,,0.2,0,,0,0.6,,0.2,0.9756727463,,0.9972542977,1.1153212788,,1.1153212788,0.8588688155,,0.9137836478,0.9187259958,,1,1.0252609014,,1.0252609014,0.5,,0.4,-0.0284359596,,-0.0314113417,0.1036363081,0.1069907745,0.1096891684,0.0680351847,0.3246270388,,0.318056023,0.550321033,,0.4277928235,0.0591089645,,0.0428265874,0.1945390403,,0.369426326,0.4027304798,,0.315286837,0.5972695202,,0.684713163,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2026-07-29T07:00:00Z,20.6599998474,0.1345415094,0.1262286128,0.0032949685,0.1308155079,0.0120415604,0.0448823029,0.0112059606,,0.0171829494,0,,0.2,0.5,,0.4,0.5,,0.6,0,,0,0,,0,0.9,,0.8,0,,0,0.9,,0.8,0.8841239075,,0.9179090067,1.0106485632,,1.0106485632,0.7633107732,,0.8383349382,0.8252661841,,0.899322365,0.9051307309,,0.9051307309,1,,1,0.0654492697,,0.0477250944,0.3184428683,0.2453284905,0.1203904148,0.2415865748,0.338383182,,0.3361988051,0.9569472859,,0.9382024308,0.0553314028,,0.0419097073,0.4793465035,,0.7760612472,0.2603267483,,0.1119693764,0.7396732517,,0.8880306236,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2026-07-30T07:00:00Z,17.0900001526,-0.1727976632,-0.1897059502,-0.0532430005,-0.126278087,0.0265848912,0.0046012349,0.0038016204,,-0.0057928599,-0.2,,-0.2,0.6,,0.6,0.4,,0.4,0,,0,0,,0,0.8,,0.6,0.3,,0.8,0.5,,-0.2,1.0709186478,,1.0908133207,1.2217670553,,1.2217670553,0.9736687678,,0.9947337536,1,,1.0655353377,1.0942071736,,1.0924517209,0.3,,0.2,-0.0880259395,,-0.0792276008,0.0215182678,0.0582043688,0.0420732043,-0.0860962858,0.0288310379,,0.0146891256,0.1061322611,,0.0231959206,0.0643080858,,0.0675942967,0.0278638118,,-0.2406577015,0.4860680941,,0.6203288507,0.5139319059,,0.3796711493,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
2026-07-31T07:00:00Z,15.9899997711,-0.0643651476,-0.0665299935,-0.0157987393,-0.049346013,0.1117717659,0.0101070202,-0.0018723804,0.0087187958,-0.040525326,-0.4,,-0.2,0.7,,0.6,0.3,,0.4,0,,0,0,0,0,0.7,0.85,0.4,0.9,0.2,0.8,-0.2,0.65,-0.4,1.1272045056,1.0773608539,1.1334584144,1.3058161013,1.3058161013,1.3058161013,0.9893683503,0.9355847562,0.9893683503,1.0662913997,1,1.0687930205,1.1676047745,1.1663539641,1.1676047745,0.1,0.25,0.2,-0.1187787937,-0.1601894142,-0.0524077623,-0.148108717,,,-0.1393972101,0.0045003623,0.3299236289,0.3397303114,0.0335968566,0.1739864672,0.0335968566,0.0801673129,0.0875277213,0.0983273573,-0.2320533777,,-0.3376792024,0.6160266889,,0.6688396012,0.3839733111,,0.3311603988,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0
2026-08-03T07:00:00Z,16.0599994659,0.0043777171,0.0043681627,0.0025016208,0.0018714147,0.0099812751,0.0018715337,-0.0059360731,0.0060136335,-0.0558530486,-0.2,-0.1,-0.2,0.6,0.55,0.6,0.4,0.45,0.4,0,0,0,0,0,0,0.6,0.8,0.2,0.8,0.15,0.6,-0.2,0.65,-0.4,1.1061644061,1.0741905585,1.0960149595,1.300124524,1.300124524,1.300124524,0.9850560536,0.9315068827,0.9850560536,1.0361145668,1,1,1.16251561,1.1612702515,1.133872957,0.2,0.25,0.4,-0.0794520772,-0.1313200763,0.0156911378,-0.1388740057,0.0314707631,-0.0706019197,-0.139796497,0.0389977683,0.1641813993,0.5378588474,0.0474307898,0.1858107417,0.0474307898,0.0863388652,0.0855797083,0.1077029807,-0.2170996864,0.0223031251,-0.3411764823,0.6085498432,0.4888484374,0.6705882412,0.3914501568,0.5111515626,0.3294117588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
