date,Close,Return,LogReturn,Gap,Body,UpperShadow,LowerShadow,BETA10,BETA20,BETA30,BETA5,BETA60,CNTD10,CNTD20,CNTD30,CNTD5,CNTD60,CNTN10,CNTN20,CNTN30,CNTN5,CNTN60,CNTP10,CNTP20,CNTP30,CNTP5,CNTP60,CORD10,CORD20,CORD30,CORD5,CORD60,CORR10,CORR20,CORR30,CORR5,CORR60,IMAX10,IMAX20,IMAX30,IMAX5,IMAX60,IMIN10,IMIN20,IMIN30,IMIN5,IMIN60,IMXD10,IMXD20,IMXD30,IMXD5,IMXD60,MA10,MA20,MA30,MA5,MA60,MAX10,MAX20,MAX30,MAX5,MAX60,MIN10,MIN20,MIN30,MIN5,MIN60,QTLD10,QTLD20,QTLD30,QTLD5,QTLD60,QTLU10,QTLU20,QTLU30,QTLU5,QTLU60,RANK10,RANK20,RANK30,RANK5,RANK60,RESI10,RESI20,RESI30,RESI5,RESI60,ROC10,ROC20,ROC30,ROC5,ROC60,RSQR10,RSQR20,RSQR30,RSQR5,RSQR60,RSV10,RSV20,RSV30,RSV5,RSV60,STD10,STD20,STD30,STD5,STD60,SUMD10,SUMD20,SUMD30,SUMD5,SUMD60,SUMN10,SUMN20,SUMN30,SUMN5,SUMN60,SUMP10,SUMP20,SUMP30,SUMP5,SUMP60,VMA10,VMA20,VMA30,VMA5,VMA60,VSTD10,VSTD20,VSTD30,VSTD5,VSTD60,VSUMD10,VSUMD20,VSUMD30,VSUMD5,VSUMD60,VSUMN10,VSUMN20,VSUMN30,VSUMN5,VSUMN60,VSUMP10,VSUMP20,VSUMP30,VSUMP5,VSUMP60,WVMA10,WVMA20,WVMA30,WVMA5,WVMA60
2026-07-06T12:00:00Z,724.49,0.0167852582,0.0166459425,0.0132345305,0.0035043493,0.0012189041,0.0046816998,-0.0031887844,0.0004858227,-0.0004492547,-0.0010510842,0.0001264158,-0.2,0,-0.0666666667,-0.2,-0.1,0.6,0.5,0.5333333333,0.6,0.55,0.4,0.5,0.4666666667,0.4,0.45,-0.2144755996,-0.055899303,-0.0575855803,-0.6152559002,-0.2699256678,-0.4970637372,-0.3225305225,-0.0974145394,-0.7267525082,-0.4421625738,0.2,0.6,0.0666666667,0.2,0.5333333333,0.7,0.2,0.4666666667,0.4,0.15,-0.5,0.4,-0.4,-0.2,0.3833333333,1.0001269859,0.9942915016,0.9973036205,0.9908307913,0.9959160927,1.0181230935,1.0181230935,1.0287512595,1.008709575,1.0287512595,0.9767008516,0.9702618394,0.9702618394,0.9767008516,0.9464312827,0.9935609877,0.9834918356,0.984499441,0.9834918356,0.980662259,1.0083230962,1.0037129567,1.0149484465,1,1.015535066,0.4,0.65,0.6,0.8,0.5833333333,0.014222544,0.0010931828,0.0092105726,0.0112713771,0.0003546418,0.0019361352,0.0240286082,-0.0171209182,-0.0036992217,-0.0166406515,0.5918629568,0.0558666617,0.0749699723,0.0258018232,0.0151050749,0.5624791736,0.6213410238,0.5084365782,0.7278999569,0.6507377599,0.0119053332,0.0118521534,0.0142016293,0.0092539535,0.0178131264,0.0243859955,0.1363599904,-0.0746878144,-0.0743299254,-0.0331199179,0.4878070023,0.4318200048,0.5373439072,0.5371649627,0.5165599589,0.5121929977,0.5681799952,0.4626560928,0.4628350373,0.4834400411,1.2546949832,1.2875838114,1.3333178842,1.3888148476,1.6679138386,0.2701750155,0.2831324545,0.3562240503,0.2453959656,0.873507759,-0.0203669298,-0.0418169824,-0.0951739462,0.054244047,-0.00743244,0.5101834649,0.5209084912,0.5475869731,0.4728779765,0.50371622,0.4898165351,0.4790915088,0.4524130269,0.5271220235,0.49628378,0.7203389269,0.9415746319,1.0569500314,0.5351422972,1.1730978751
2026-07-06T15:00:00Z,721.32,-0.0043754917,-0.0043850922,-0.0003864788,-0.0039905552,0.0025130832,0.00037282,-0.0029006586,0.0006221311,-0.000302694,0.0027366495,0.0001736711,-0.4,-0.1,-0.1333333333,-0.2,-0.1333333333,0.7,0.55,0.5666666667,0.6,0.5666666667,0.3,0.45,0.4333333333,0.4,0.4333333333,-0.3344891226,-0.2887466259,-0.0513331851,-0.7256326674,-0.2657247133,-0.4956340755,-0.4014846628,-0.1737137067,-0.8538091518,-0.4304229208,0.1,0.55,0.0333333333,0,0.5166666667,0.6,0.15,0.4333333333,0.2,0.1333333333,-0.5,0.4,-0.4,-0.2,0.3833333333,1.0032468253,0.9983637637,1.0008597664,0.9942619087,0.9998240494,1.0225974602,1.0225974602,1.0332723341,1.013142572,1.0332723341,0.9809931792,0.9745258692,0.9745258692,0.9809931792,0.9505905839,0.9979274109,0.9878140077,0.9888260411,0.9878140077,0.9849719958,1.0090112571,1.0081239949,1.0127543947,1,1.0194088615,0.4,0.55,0.5333333333,0.8,0.5333333333,0.0098061382,-0.0042740096,0.0035292972,0.0002647923,-0.0049473468,-0.0125937688,-0.0059122669,-0.0242015124,-0.0045953219,-0.0273593938,0.5080547795,0.0925466525,0.0370906922,0.2069311832,0.0294686146,0.4568477174,0.5299206921,0.4336283186,0.5912031048,0.5975855131,0.0116887566,0.0117922699,0.0136038121,0.008507877,0.0175205604,-0.1730950141,-0.0390995261,-0.1052105387,-0.0904154222,-0.0550640469,0.5865475071,0.519549763,0.5526052693,0.5452077111,0.5275320234,0.4134524929,0.480450237,0.4473947307,0.4547922889,0.4724679766,1.272476782,1.306090368,1.3688113727,1.3646374434,1.744696336,0.2951244709,0.2811460608,0.3700311479,0.3152239175,0.9175720585,-0.1352920679,-0.1661193687,-0.0782425749,-0.3273608276,-0.004712825,0.5676460339,0.5830596844,0.5391212874,0.6636804138,0.5023564125,0.4323539661,0.4169403156,0.4608787126,0.3363195862,0.4976435875,0.8049661602,0.8507880464,1.0612352337,0.5522263305,1.1790246736
2026-07-06T18:00:00Z,722.75,0.0019824766,0.0019805141,0.0004159042,0.0015659211,0.0033397079,0.000332585,-0.0018492081,0.0005221962,-0.0001256864,0.0053697682,0.0002157802,-0.4,0,-0.1333333333,0.2,-0.1,0.7,0.5,0.5666666667,0.4,0.55,0.3,0.5,0.4333333333,0.6,0.45,-0.2107246989,-0.2401040749,-0.0438086426,-0.5857019939,-0.2603203047,-0.4878102472,-0.3518891474,-0.3459070938,-0.7774274087,-0.4329765656,0,0.5,0,0.6,0.5,0.5,0.1,0.4,0,0.1166666667,-0.5,0.4,-0.4,0.6,0.3833333333,0.9994638533,0.9970449671,0.9980991583,0.9931041162,0.9974990199,1.0205741958,1.0205741958,1.0312279488,1.0045382221,1.0312279488,0.9790522311,0.9725977171,0.9725977171,0.9790522311,0.948709789,0.9959529575,0.9858595642,0.9868695953,0.9858595642,0.9830231754,1.006129367,1.006129367,1.0070148737,1,1.0145693532,0.5,0.55,0.5666666667,0.8,0.5666666667,0.0088575831,-0.0020058309,0.003723294,-0.0038436527,-0.0038645353,-0.0176623694,0.0133051061,-0.0228750659,0.0040634877,-0.0203852045,0.2685171198,0.0675633168,0.0072292041,0.7151353634,0.0470302411,0.5044985005,0.5711607787,0.4673746313,0.8219326819,0.6215627096,0.0102500686,0.0115844132,0.0127947603,0.0089800016,0.0172315067,-0.2632965252,0.0960526316,-0.0989415824,0.0874831763,-0.0410827938,0.6316482626,0.4519736842,0.5494707912,0.4562584118,0.5205413969,0.3683517374,0.5480263158,0.4505292088,0.5437415882,0.4794586031,0.93145747,0.9121965942,0.9616202538,0.9845334138,1.2502379008,0.2100555173,0.1585767521,0.2396688056,0.2261138478,0.6581849623,0.0823265516,-0.1259282277,-0.0761988162,0.0251373216,-0.0015877918,0.4588367242,0.5629641139,0.5380994081,0.4874313392,0.5007938959,0.5411632758,0.4370358861,0.4619005919,0.5125686608,0.4992061041,0.8819528793,0.7937707032,1.05370184,0.6944205775,1.1874447467
2026-07-07T12:00:00Z,707.595,-0.020968523,-0.0211914848,-0.0087582152,-0.0123181932,0,0.0037338433,-0.0018063749,0.0001983633,-0.000093761,-0.0016407691,0.0001988864,-0.4,-0.1,-0.1333333333,0.2,-0.1,0.7,0.55,0.5666666667,0.4,0.55,0.3,0.45,0.4333333333,0.6,0.45,-0.1414216575,-0.1342727007,-0.0360652406,-0.2741828811,-0.2349736623,-0.672913754,-0.3560090206,-0.2879063245,-0.5379663586,-0.4247962379,0.1,0.45,0,0.4,0.4833333333,0.9,0.05,0.3666666667,0.8,0.1,-0.8,0.4,-0.3666666667,-0.4,0.3833333333,1.0169517874,1.0177078696,1.0180522286,1.0143330578,1.018456179,1.0342356857,1.0424324649,1.0437467761,1.0260530388,1.0533143959,0.9962195889,0.9934284442,0.9934284442,0.9962195889,0.9690288936,1.0069743285,1.0055469584,1.0069743285,1.0069743285,1.0036390873,1.0241027707,1.0276782623,1.0276782623,1.0214176188,1.0362990129,0.1,0.1,0.1,0.2,0.15,-0.0088231005,-0.0195923213,-0.0166926938,-0.0110515196,-0.0243233284,-0.0377046728,-0.0136399119,-0.0409652761,-0.0002048775,-0.0238318595,0.2581409304,0.0084183708,0.0040304104,0.0631214408,0.0376580182,0.0994423792,0.1341023792,0.1305996349,0.1267171956,0.3674547284,0.0102118968,0.0124664613,0.012783121,0.0092357892,0.0177491149,-0.4326285402,-0.0890881777,-0.1639855682,-0.0039720586,-0.0469015136,0.7163142701,0.5445440889,0.5819927841,0.5019860293,0.5234507568,0.2836857299,0.4554559111,0.4180072159,0.4980139707,0.4765492432,0.9869783727,0.9841089296,1.0396712923,1.0098487712,1.3331326502,0.2213891746,0.1693247912,0.2529700034,0.225849728,0.7074024898,-0.0560363444,0.0279645342,0.0296315178,-0.2004806602,-0.0176546366,0.5280181722,0.4860177329,0.4851842411,0.6002403301,0.5088273183,0.4719818278,0.5139822671,0.5148157589,0.3997596699,0.4911726817,0.7839527946,0.8153356845,1.0003689923,0.6987210035,1.1908973818
2026-07-07T15:00:00Z,713.41,0.0082179778,0.0081843941,-0.0009539355,0.0091806711,0.0006082725,0.0014570248,-0.0014950815,-0.0000220428,0.0000076525,-0.0050300669,0.0001683959,-0.2,0,-0.0666666667,0.2,-0.0666666667,0.6,0.5,0.5333333333,0.4,0.5333333333,0.4,0.5,0.4666666667,0.6,0.4666666667,-0.3446695146,-0.1612376764,-0.0516266152,-0.3958961009,-0.2256460834,-0.5197944921,-0.3286352918,-0.1792909527,-0.3066613292,-0.4121183519,0,0.4,0,0.2,0.4666666667,0.8,0,0.3333333333,0.6,0.0833333333,-0.8,0.4,-0.3333333333,-0.4,0.3833333333,1.006642744,1.0092089402,1.0086383239,1.0063119384,1.0101056896,1.0258056377,1.0339356051,1.035141083,1.0176896876,1.0447288376,0.9880994099,0.9853310158,0.9853310158,0.9880994099,0.9611303458,0.9987664877,0.997350752,0.9987664877,1,0.995458432,1.0155310411,1.0193016638,1.0171009658,1.0130920509,1.0278521467,0.4,0.35,0.3,0.4,0.3,0.0000851225,-0.0089995334,-0.0087492858,0.0037481953,-0.0150733685,-0.0197988514,-0.0040554784,-0.0323888836,0.0012350357,-0.0029349695,0.1989194654,0.0001036607,0.0000304819,0.628164755,0.0273671884,0.3156133829,0.3018024513,0.2944983819,0.4021790621,0.4649564051,0.0096283792,0.0124840586,0.0119970283,0.008975362,0.0176285548,-0.2309294872,-0.0253523585,-0.1259493671,0.0234479083,-0.0057568946,0.6154647436,0.5126761793,0.5629746835,0.4882760458,0.5028784473,0.3845352564,0.4873238207,0.4370253165,0.5117239542,0.4971215527,1.1745621205,1.1491120777,1.2239739024,1.0550297758,1.5331323953,0.2403297603,0.2004405501,0.2897903404,0.1365423749,0.8180257534,0.0782063058,-0.0170723863,0.02064738,-0.473286951,-0.0491619575,0.4608968471,0.5085361932,0.48967631,0.7366434755,0.5245809788,0.5391031529,0.4914638068,0.51032369,0.2633565245,0.4754190212,0.7849727437,0.7653527532,0.9634094911,0.7457748222,1.2154669005
2026-07-07T18:00:00Z,710.01,-0.0047658429,-0.0047772358,0.0003644468,-0.0051284207,0,0.0050303361,-0.0012795381,-0.0004340032,0.0000995928,-0.0045013451,0.0000960805,-0.2,0,-0.1333333333,-0.2,-0.0666666667,0.6,0.5,0.5666666667,0.6,0.5333333333,0.4,0.5,0.4333333333,0.4,0.4666666667,-0.3485821887,-0.1714793772,-0.0780880931,0.111762763,-0.2033260073,-0.4410836731,-0.363133617,-0.274917768,-0.363704226,-0.3672715333,0.1,0.35,0.5666666667,0,0.45,0.7,0.05,0.3,0.4,0.0666666667,-0.6,0.3,0.2666666667,-0.4,0.3833333333,1.009044943,1.0140086055,1.0121552279,1.0070520134,1.015171852,1.0292812777,1.0388867762,1.0388867762,1.0225630625,1.0497316939,0.9928310869,0.9928170026,0.9900494359,0.9928310869,0.965732877,1,1.0021267306,1.0021267306,1,1.0002253489,1.0179434092,1.024182758,1.0206194279,1.0159293531,1.0327741863,0.3,0.2,0.1666666667,0.4,0.2,-0.0032870216,-0.0098855751,-0.0135993238,0.0019506768,-0.0180062268,-0.0236117605,-0.0006615246,-0.0379007561,-0.0199864732,0.0139378793,0.159451381,0.039575064,0.0058405071,0.5604135677,0.0091164427,0.1966769706,0.1559156221,0.2037490988,0.2411179536,0.4079476861,0.0092037763,0.012579922,0.0112795559,0.0085036031,0.0174270089,-0.2635052179,-0.0041908159,-0.1454422547,-0.4998274077,0.0276549926,0.631752609,0.5020954079,0.5727211273,0.7499137038,0.4861725037,0.368247391,0.4979045921,0.4272788727,0.2500862962,0.5138274963,0.8808727958,0.8305668638,0.877544288,0.8209666335,1.0641446171,0.1594450355,0.148553656,0.2077572987,0.1266308382,0.5251959018,0.1990810485,0.0409465137,-0.0001586255,0.4280583032,-0.0876109972,0.4004594757,0.4795267431,0.5000793128,0.2859708484,0.5438054986,0.5995405243,0.5204732569,0.4999206872,0.7140291516,0.4561945014,0.6953066774,0.7811274211,0.9374581805,0.8667660224,1.0995402936
2026-07-08T12:00:00Z,705.21,-0.0067604682,-0.0067834236,-0.0092393065,0.0025019547,0.0064681214,0.0005117635,-0.0013793441,-0.0009245633,-0.0000223066,-0.0046319536,0.0000601213,-0.2,-0.1,-0.1333333333,-0.2,-0.1,0.6,0.55,0.5666666667,0.6,0.55,0.4,0.45,0.4333333333,0.4,0.45,-0.2702825897,-0.1013170376,-0.0930800923,0.1609624485,-0.1289794988,-0.2283878634,-0.2271936088,-0.1841544256,0.4207059963,-0.3367195403,0,0.3,0.5333333333,0,0.4333333333,0.9,0.95,0.2666666667,0.8,0.05,-0.9,-0.65,0.2666666667,-0.8,0.3833333333,1.0131563648,1.0204630536,1.0184082283,1.0093376441,1.0217176444,1.0362870634,1.0459579416,1.0459579416,1.0282894457,1.056876675,0.9969938033,0.9969938033,0.9967881908,0.9969938033,0.9723061216,1.0035875838,1.0068064832,1.0074729513,1.0033819713,1.0068064832,1.0228442592,1.0311538407,1.0275662569,1.0116277421,1.0398037464,0.1,0.1,0.0666666667,0.2,0.1166666667,-0.0069493162,-0.0116797023,-0.0180847831,-0.0000737369,-0.0234912238,-0.0268267439,-0.0088683382,-0.0187290411,-0.0223340542,-0.0213707831,0.1743846311,0.162486886,0.0002650334,0.5711737328,0.0034323198,0.0765066763,0.0613958876,0.0653208363,0.0960579973,0.3274647887,0.0094873626,0.0132258415,0.0118596415,0.0086675246,0.017771948,-0.2882989767,-0.0544387887,-0.0757030371,-0.5264705882,-0.0456485653,0.6441494884,0.5272193944,0.5378515186,0.7632352941,0.5228242827,0.3558505116,0.4727806056,0.4621484814,0.2367647059,0.4771757173,1.3542261587,1.3099365604,1.3851381105,1.3024408416,1.6798068084,0.2784806764,0.2469901095,0.338767973,0.2103729435,0.8409567931,-0.1568177716,-0.0488497925,-0.0392207693,-0.0173676248,-0.0272010849,0.5784088858,0.5244248963,0.5196103847,0.5086838124,0.5136005425,0.4215911142,0.4755751037,0.4803896153,0.4913161876,0.4863994575,0.6774708625,0.7454611152,0.9483906869,0.8077194212,1.0979045923
2026-07-08T15:00:00Z,708.56,0.004750358,0.0047391107,0.0000141802,0.0047361107,0.0035308131,0.0060123082,-0.0013270192,-0.0014711878,-0.0001321077,-0.0008848933,0.000025586,0,0,-0.0666666667,-0.2,-0.0666666667,0.5,0.5,0.5333333333,0.6,0.5333333333,0.5,0.5,0.4666666667,0.4,0.4666666667,-0.226711008,-0.0766690159,-0.0835540805,0.135119227,-0.1256311041,-0.21663675,-0.1896853034,-0.1594073206,0.2887658037,-0.3222245196,0.3,0.25,0.5,0,0.4166666667,0.9,0.95,0.9666666667,0.8,0.0333333333,-0.6,-0.7,-0.4666666667,-0.8,0.3833333333,1.0067764198,1.0158938551,1.0132475255,1.0005602913,1.0166701949,1.0246556396,1.0410127583,1.0410127583,1.0110929209,1.051879869,0.9893022468,0.9893022468,0.9893022468,0.9893022468,0.9677091566,0.9988427233,1.002046404,1.002046404,0.9986380829,1.0014818787,1.018008355,1.0262786497,1.0227080275,1.002046404,1.0348876595,0.4,0.2,0.2,0.6,0.2,-0.0008048334,-0.0019175713,-0.0113319639,0.0012094953,-0.0174249814,-0.0156496371,0.0051351888,-0.0102666536,-0.0196333449,-0.0128451615,0.1651680607,0.4390509084,0.0090159562,0.1062778516,0.0006187421,0.3025948104,0.2068777293,0.2068777293,0.4909326425,0.3836351442,0.0093786677,0.0128028452,0.0120423555,0.0038387031,0.0178134297,-0.1707982715,0.0321263756,-0.0412018611,-0.4363468635,-0.0272877945,0.5853991358,0.4839368122,0.5206009305,0.7181734317,0.5136438972,0.4146008642,0.5160631878,0.4793990695,0.2818265683,0.4863561028,1.1128854462,1.0859025885,1.1491609649,1.0462832137,1.3880357154,0.2349549481,0.206729749,0.2837822892,0.167796056,0.7014897689,-0.05936289,-0.0257533827,-0.0193379565,-0.1543740581,-0.0249270568,0.529681445,0.5128766913,0.5096689783,0.5771870291,0.5124635284,0.470318555,0.4871233087,0.4903310217,0.4228129709,0.4875364716,0.7138921266,0.7757168097,0.9470867313,0.7277108113,1.1026292517
2026-07-08T18:00:00Z,709.14,0.0008185616,0.0008182268,-0.0006068646,0.0014262918,0.0043706664,0,-0.0021791226,-0.0017764979,-0.0002364988,-0.0014087486,-0.0000138606,0.2,0,0,0.2,-0.0333333333,0.4,0.5,0.5,0.4,0.5166666667,0.6,0.5,0.5,0.6,0.4833333333,-0.1488341368,-0.0978420475,-0.0893257279,0.0721921204,-0.1283310572,0.025608046,-0.0413259481,-0.0665469697,0.2790737763,-0.2883827452,0.2,0.2,0.4666666667,0,0.4,0.8,0.9,0.9333333333,0.6,0.0166666667,-0.6,-0.7,-0.4666666667,-0.6,0.3833333333,1.0061504075,1.0145990213,1.012122665,1.00017768,1.0157070536,1.0238175819,1.0401613222,1.0401613222,1.0066277463,1.0510195448,0.9884931043,0.9884931043,0.9884931043,0.9884931043,0.9669176749,0.9991821079,1,1,0.9991821079,1,1.017175734,1.0254392645,1.0218715627,1.0012268381,1.034041233,0.4,0.25,0.2333333333,0.6,0.2166666667,0.0036556444,0.0022777086,-0.0086934318,0.0026398172,-0.0152981654,0.0019781276,-0.0091935394,-0.0088057699,0.0021834524,-0.0078350169,0.460694139,0.6062062262,0.0280436059,0.2876770019,0.000180109,0.325748503,0.2227074236,0.2227074236,0.634525661,0.393360161,0.0092215156,0.0131568016,0.0122236615,0.0037144621,0.017886083,0.0257116621,-0.0642076503,-0.0352941176,0.0860964057,-0.0166954863,0.487144169,0.5321038251,0.5176470588,0.4569517972,0.5083477431,0.512855831,0.4678961749,0.4823529412,0.5430482028,0.4916522569,1.5139075608,1.5393391052,1.6020185793,1.3935107012,1.9910636024,0.3591255974,0.3229030834,0.3560069657,0.3087975308,1.0246720223,-0.2442875256,-0.095463144,-0.16115347,-0.2821983699,-0.0297390984,0.6221437628,0.547731572,0.580576735,0.6410991849,0.5148695492,0.3778562372,0.452268428,0.419423265,0.3589008151,0.4851304508,0.8050638727,0.8442161642,0.9519747756,0.4870490734,1.1179925528
2026-07-09T12:00:00Z,719.315,0.0143483656,0.014246402,0.0111261528,0.0031867565,0.0047487553,0.0025521945,-0.0017975014,-0.0016790097,-0.0002018034,0.0031335368,-0.000039679,0.2,0,0,0.2,0,0.4,0.5,0.5,0.4,0.5,0.6,0.5,0.5,0.6,0.5,-0.1718151667,-0.0743477237,-0.0565189294,0.138603834,-0.1307920531,-0.0761769396,-0.0344027379,-0.0691157833,-0.3842626917,-0.2742302946,0.1,0.15,0.4333333333,0.8,0.3833333333,0.7,0.85,0.9,0.4,0,-0.6,-0.7,-0.4666666667,0.4,0.3833333333,0.9928612638,0.9999944392,0.9977958196,0.9876716042,1.0015513602,1.0093352704,1.0254478219,1.0254478219,1.0047336702,1.0361524506,0.9745104718,0.9745104718,0.9745104718,0.9745104718,0.9532402355,0.9850482751,0.9858545978,0.9858545978,0.9850482751,0.9858545978,1.0027873741,1.0109340136,1.0074167785,0.9870640818,1.0194143039,0.7,0.45,0.5666666667,1,0.4666666667,0.0152274923,0.0159561527,0.005130329,0.0060613222,-0.0003808306,0.0095224061,-0.0050280102,-0.0002988062,0.0082771478,0.0128771984,0.3025382847,0.5612050817,0.0210158429,0.4555389797,0.0015349995,0.7319361277,0.5004093886,0.5004093886,0.8433762649,0.5639671362,0.0093865508,0.0129237404,0.012048811,0.0065657905,0.0175390704,0.1133951701,-0.0344794878,-0.001164775,0.2647388478,0.0268162158,0.443302415,0.5172397439,0.5005823875,0.3676305761,0.4865918921,0.556697585,0.4827602561,0.4994176125,0.6323694239,0.5134081079,1.4380696545,1.5745991546,1.6542350462,1.3611597443,2.0457202408,0.3048385475,0.3599323546,0.384294572,0.3682114293,1.0726819409,-0.3376300108,-0.0678969036,-0.030172053,-0.2105332411,-0.0312660858,0.6688150054,0.5339484518,0.5150860265,0.6052666206,0.5156330429,0.3311849946,0.4660515482,0.4849139735,0.3947333794,0.4843669571,0.8114943445,0.8461770226,0.9334801368,0.5386933919,1.119354195
